CO2,PM10,PM25,NO,NO2,O3,SO2,AQI
491.0,30.8,23.5,6.2,37.36,0.92,34.81,2.0
553.0,32.3,25.9,6.2,37.36,0.92,34.81,2.0
553.0,32.3,25.9,6.2,37.36,0.92,34.81,2.0
520.0,30.1,23.6,16.32,34.27,0.03,38.62,2.0
520.0,30.1,23.6,16.32,34.27,0.03,38.62,2.0
516.0,43.2,32.9,16.32,34.27,0.03,38.62,2.0
506.0,37.8,27.9,16.32,34.27,0.03,38.62,2.0
506.0,37.8,27.9,16.32,34.27,0.03,38.62,2.0
400.0,37.7,28.5,16.32,34.27,0.03,38.62,1.0
400.0,37.7,28.5,16.32,34.27,0.03,38.62,1.0
400.0,32.3,22.4,16.32,34.27,0.03,38.62,1.0
400.0,24.0,13.6,16.32,34.27,0.03,38.62,1.0
400.0,26.8,14.8,16.32,34.27,0.03,38.62,1.0
400.0,26.8,14.8,16.32,34.27,0.03,38.62,1.0
400.0,27.7,14.7,16.32,34.27,0.03,38.62,1.0
400.0,24.7,10.4,16.32,34.27,0.03,38.62,1.0
400.0,24.7,10.4,16.32,34.27,0.03,38.62,1.0
400.0,22.4,11.2,16.32,34.27,0.03,38.62,1.0
468.0,24.1,10.8,16.32,34.27,0.03,38.62,2.0
505.0,29.8,16.2,16.32,34.27,0.03,38.62,2.0
505.0,29.8,16.2,16.32,34.27,0.03,38.62,2.0
494.0,24.1,15.0,16.32,34.27,0.03,38.62,2.0
523.0,23.4,14.8,16.32,34.27,0.03,38.62,2.0
523.0,23.4,14.8,16.32,34.27,0.03,38.62,2.0
477.0,21.0,13.5,16.32,34.27,0.03,38.62,1.0
457.0,22.4,14.2,16.32,34.27,0.03,38.62,1.0
457.0,22.4,14.2,16.32,34.27,0.03,38.62,1.0
442.0,21.7,12.2,16.32,34.27,0.03,38.62,1.0
446.0,21.7,13.8,16.32,34.27,0.03,38.62,1.0
446.0,21.7,13.8,16.32,34.27,0.03,38.62,1.0
412.0,23.4,12.2,16.32,34.27,0.03,38.62,1.0
519.0,17.9,9.9,16.32,34.27,0.03,38.62,2.0
519.0,17.9,9.9,16.32,34.27,0.03,38.62,2.0
536.0,22.0,11.8,16.32,34.27,0.03,38.62,2.0
431.0,19.9,12.8,16.32,34.27,0.03,38.62,1.0
431.0,19.9,12.8,16.32,34.27,0.03,38.62,1.0
441.0,20.2,11.4,16.32,34.27,0.03,38.62,1.0
451.0,16.7,9.7,16.32,34.27,0.03,38.62,1.0
451.0,16.7,9.7,16.32,34.27,0.03,38.62,1.0
512.0,18.2,9.0,16.32,34.27,0.03,38.62,2.0
537.0,19.2,11.7,16.32,34.27,0.03,38.62,2.0
537.0,19.2,11.7,16.32,34.27,0.03,38.62,2.0
508.0,18.5,11.5,16.32,34.27,0.03,38.62,2.0
499.0,18.5,11.5,16.32,34.27,0.03,38.62,2.0
553.0,23.2,11.7,16.32,34.27,0.03,38.62,2.0
557.0,19.5,11.3,16.32,34.27,0.03,38.62,2.0
557.0,19.5,11.3,16.32,34.27,0.03,38.62,2.0
561.0,23.7,12.3,16.32,34.27,0.03,38.62,2.0
455.0,18.9,12.0,16.32,34.27,0.03,38.62,1.0
455.0,18.9,12.0,16.32,34.27,0.03,38.62,1.0
468.0,20.8,11.3,16.32,34.27,0.03,38.62,1.0
451.0,18.8,8.2,16.32,34.27,0.03,38.62,1.0
451.0,18.8,8.2,16.32,34.27,0.03,38.62,1.0
443.0,18.4,8.9,16.32,34.27,0.03,38.62,1.0
551.0,20.7,9.7,16.32,34.27,0.03,38.62,2.0
551.0,20.7,9.7,16.32,34.27,0.03,38.62,2.0
498.0,18.5,8.9,16.32,34.27,0.03,38.62,2.0
462.0,21.1,9.8,16.32,34.27,0.03,38.62,1.0
462.0,21.1,9.8,16.32,34.27,0.03,38.62,1.0
507.0,16.4,7.7,16.32,34.27,0.03,38.62,2.0
507.0,16.4,7.7,16.32,34.27,0.03,38.62,2.0
487.0,17.9,10.4,16.32,34.27,0.03,38.62,1.0
423.0,15.9,9.1,16.32,34.27,0.03,38.62,1.0
423.0,15.9,9.1,16.32,34.27,0.03,38.62,1.0
400.0,19.6,10.0,16.32,34.27,0.03,38.62,1.0
459.0,16.7,6.4,16.32,34.27,0.03,38.62,1.0
473.0,17.5,6.8,16.32,34.27,0.03,38.62,1.0
473.0,17.5,6.8,16.32,34.27,0.03,38.62,1.0
498.0,20.7,10.1,16.32,34.27,0.03,38.62,1.0
540.0,18.6,8.3,16.32,34.27,0.03,38.62,2.0
540.0,18.6,8.3,16.32,34.27,0.03,38.62,2.0
513.0,20.2,9.8,16.32,34.27,0.03,38.62,2.0
435.0,18.2,9.3,16.32,34.27,0.03,38.62,1.0
435.0,18.2,9.3,16.32,34.27,0.03,38.62,1.0
400.0,20.1,9.2,16.32,34.27,0.03,38.62,1.0
400.0,20.1,9.2,16.32,34.27,0.03,38.62,1.0
400.0,16.9,6.5,16.32,34.27,0.03,38.62,1.0
400.0,16.3,6.0,16.32,34.27,0.03,38.62,1.0
575.0,19.0,6.4,16.32,34.27,0.03,38.62,2.0
575.0,19.0,6.4,16.32,34.27,0.03,38.62,2.0
445.0,22.2,9.4,16.32,34.27,0.03,38.62,1.0
400.0,19.7,10.8,56.33,40.1,8.4,91.55,1.0
400.0,19.7,10.8,56.33,40.1,8.4,91.55,1.0
404.0,19.4,10.3,56.33,40.1,8.4,91.55,1.0
429.0,19.0,10.8,56.33,40.1,8.4,91.55,1.0
429.0,19.0,10.8,56.33,40.1,8.4,91.55,1.0
425.0,16.8,10.5,56.33,40.1,8.4,91.55,1.0
558.0,14.7,8.2,56.33,40.1,8.4,91.55,2.0
478.0,16.3,8.2,56.33,40.1,8.4,91.55,2.0
478.0,16.3,8.2,56.33,40.1,8.4,91.55,2.0
557.0,15.8,8.7,56.33,40.1,8.4,91.55,2.0
557.0,15.8,8.7,56.33,40.1,8.4,91.55,2.0
521.0,17.5,10.2,56.33,40.1,8.4,91.55,2.0
521.0,17.5,10.2,56.33,40.1,8.4,91.55,2.0
453.0,18.5,10.2,56.33,40.1,8.4,91.55,1.0
413.0,15.1,9.1,56.33,40.1,8.4,91.55,1.0
471.0,17.2,9.7,56.33,40.1,8.4,91.55,2.0
471.0,17.2,9.7,56.33,40.1,8.4,91.55,2.0
609.0,17.7,8.6,56.33,40.1,8.4,91.55,2.0
578.0,18.3,10.4,56.33,40.1,8.4,91.55,2.0
521.0,14.6,9.2,56.33,40.1,8.4,91.55,2.0
576.0,14.3,9.0,56.33,40.1,8.4,91.55,2.0
638.0,16.8,11.0,56.33,40.1,8.4,91.55,2.0
